ID,Age,Sex,Latitude,Longitude,Location,mass,SVL,Season,fveg10,frock10,fveg20,frock20,fveg30,frock30,fveg40,frock40,fveg50,frock50,fveg60,frock60,fveg70,frock70,fveg80,frock80,fveg90,frock90,fveg100,frock100,Mi
GS44,Adult,Male,31.35298,35.363849,Tse'elim River,2.1,43.29,Winter,0.057178932,0.158098846,0.042453362,0.170332273,0.028983183,0.128460043,0.039373985,0.109800649,0.033194167,0.104547734,0.027664399,0.089983839,0.029126946,0.089761292,0.028196567,0.097016429,0.028537638,0.095942858,0.029450898,0.098181385,2.071677591
GS45,Adult,Male,31.352956,35.364041,Tse'elim River,2,43.95,Winter,0.026180374,0.337004604,0.054504454,0.172691397,0.045091456,0.14416437,0.034851534,0.119629498,0.035325528,0.097367994,0.032103437,0.095435809,0.029548806,0.102499434,0.028607107,0.098541386,0.031083132,0.101069179,0.032238104,0.101227105,1.860416711
GS46,Adult,Male,31.352956,35.364041,Tse'elim River,2.1,41.16,Winter,0.026180374,0.337004604,0.054504454,0.172691397,0.045091456,0.14416437,0.034851534,0.119629498,0.035325528,0.097367994,0.032103437,0.095435809,0.029548806,0.102499434,0.028607107,0.098541386,0.031083132,0.101069179,0.032238104,0.101227105,2.520161309
GS85,Adult,NA,31.352011,35.359523,Tse'elim River,2.3,46.29,Winter,0.00099269,0.014258641,0.006584733,0.023542677,0.00400894,0.024644958,0.003399271,0.051795187,0.003763224,0.050956862,0.003174707,0.046402834,0.002720853,0.042077495,0.003251572,0.042667896,0.003775089,0.045747624,0.010864918,0.052871423,1.749077547
GS86,Adult,NA,31.351923,35.358573,Tse'elim River,1.7,42.71,Winter,0.000992332,0.078033378,0.001262911,0.10204772,0.001172815,0.092993184,0.00199585,0.098834063,0.003027231,0.092083377,0.002555667,0.088927196,0.002242194,0.091434746,0.002693473,0.09363165,0.003980102,0.104457068,0.007487782,0.107700121,1.767274801
GS87,Adult,NA,31.352374,35.358291,Tse'elim River,1.8,44.44,Winter,0,0.023429756,0,0.039321789,0.001262727,0.090535557,0.005327605,0.110447744,0.010478269,0.132396399,0.009919596,0.147473497,0.009517393,0.142363259,0.010879401,0.133542211,0.009666462,0.121504538,0.009429988,0.113842707,1.603802231
GS88,Adult,NA,31.352225,35.358126,Tse'elim River,1.4,38.13,Winter,0.00207338,0.128188948,0.000654066,0.084803103,0.000340797,0.097788826,0.000778048,0.138751854,0.00476297,0.158541954,0.007398981,0.165578827,0.007415085,0.149078545,0.00757705,0.132971864,0.007493611,0.125020463,0.008743492,0.122913126,2.26108965
GS89,Adult,NA,31.352221,35.358122,Tse'elim River,1.9,44.11,Winter,0.002076374,0.129006049,0.000653875,0.087281008,0.000340811,0.098975562,0.000716025,0.139748996,0.004600397,0.158841782,0.007344429,0.164995314,0.007427684,0.149536667,0.007554754,0.133165231,0.007398936,0.125286341,0.008618069,0.123041563,1.742626269
GS11,Adult,NA,31.379605,35.367956,Mishmar River,2.5,49.67,Summer,0.033101831,0.124379904,0.042409204,0.100383487,0.036126588,0.094139576,0.038928384,0.082541705,0.032900695,0.081313574,0.029566599,0.084595551,0.042065555,0.080701283,0.044905006,0.074470064,0.044510594,0.073683191,0.041522039,0.074951831,1.445922359
GS12,Adult,NA,31.379943,35.368383,Mishmar River,1.8,44.77,Summer,0.003428984,0.00730915,0.003811113,0.023701064,0.002164676,0.055038884,0.002536998,0.062703312,0.005329013,0.082341735,0.01063406,0.096222704,0.016137405,0.097380387,0.020484618,0.097118003,0.020752549,0.097878307,0.022268366,0.103888372,1.558373235
